alg,op,n,ns
Ed25519,seal,2,23786
Ed25519,seal,2,23897
Ed25519,seal,2,23722
Ed25519,seal,2,23428
Ed25519,seal,2,23553
Ed25519,seal,2,23565
Ed25519,seal,2,23736
Ed25519,seal,2,23535
Ed25519,seal,2,23560
Ed25519,seal,2,23518
Ed25519,seal,2,23580
Ed25519,seal,2,23514
Ed25519,seal,2,23510
Ed25519,seal,2,23503
Ed25519,seal,2,23631
Ed25519,seal,2,23614
Ed25519,seal,2,23937
Ed25519,seal,2,23668
Ed25519,seal,2,23483
Ed25519,seal,2,23645
Ed25519,seal,2,23571
Ed25519,seal,2,23452
Ed25519,seal,2,23558
Ed25519,seal,2,23478
Ed25519,seal,2,23451
Ed25519,seal,2,23417
Ed25519,seal,2,23512
Ed25519,seal,2,23576
Ed25519,seal,2,23671
Ed25519,seal,2,23438
Ed25519,seal,2,23752
Ed25519,seal,2,23431
Ed25519,seal,2,23562
Ed25519,seal,2,23432
Ed25519,seal,2,23563
Ed25519,seal,2,23447
Ed25519,seal,2,23476
Ed25519,seal,2,23388
Ed25519,seal,2,24086
Ed25519,seal,2,23770
Ed25519,seal,2,23601
Ed25519,seal,2,23458
Ed25519,seal,2,23763
Ed25519,seal,2,23806
Ed25519,seal,2,23813
Ed25519,seal,2,24094
Ed25519,seal,2,24256
Ed25519,seal,2,24194
Ed25519,seal,2,23944
Ed25519,seal,2,24184
Ed25519,seal,2,23739
Ed25519,seal,2,24148
Ed25519,seal,2,23709
Ed25519,seal,2,23948
Ed25519,seal,2,23704
Ed25519,seal,2,23882
Ed25519,verify_n2,2,127919
Ed25519,verify_n2,2,126674
Ed25519,verify_n2,2,126751
Ed25519,verify_n2,2,139753
Ed25519,verify_n2,2,144131
Ed25519,verify_n2,2,127959
Ed25519,verify_n2,2,126823
Ed25519,verify_n2,2,127015
Ed25519,verify_n2,2,127632
Ed25519,verify_n2,2,127823
Ed25519,verify_n2,2,129075
Ed25519,verify_n2,2,141620
Ed25519,verify_n2,2,129840
Ed25519,verify_n2,2,129204
Ed25519,verify_n2,2,131159
Ed25519,verify_n2,2,129885
Ed25519,verify_n2,2,128643
Ed25519,verify_n2,2,129188
Ed25519,verify_n2,2,134520
Ed25519,verify_n2,2,140974
Ed25519,verify_n2,2,131463
Ed25519,verify_n2,2,147176
Ed25519,verify_n2,2,131728
Ed25519,verify_n2,2,127368
Ed25519,verify_n2,2,127606
Ed25519,verify_n2,2,127910
Ed25519,verify_n2,2,139162
Ed25519,verify_n2,2,128750
Ed25519,verify_n2,2,126735
Ed25519,verify_n2,2,137216
Ed25519,verify_n2,2,128961
Ed25519,verify_n2,2,127002
Ed25519,verify_n2,2,126234
Ed25519,verify_n2,2,126462
Ed25519,verify_n2,2,126675
Ed25519,verify_n2,2,126361
Ed25519,verify_n2,2,128504
Ed25519,verify_n2,2,126423
Ed25519,verify_n2,2,137870
Ed25519,verify_n2,2,144338
Ed25519,verify_n2,2,130214
