alg,phase,rep,ns
Mldsa65,append_realtime,61,105438
Mldsa65,append_realtime,62,147923
Mldsa65,append_realtime,63,84245
Mldsa65,append_realtime,64,95570
Mldsa65,append_realtime,65,82918
Mldsa65,append_realtime,66,91736
Mldsa65,append_realtime,67,126912
Mldsa65,append_realtime,68,144935
Mldsa65,append_realtime,69,138984
Mldsa65,append_realtime,70,92957
Mldsa65,append_realtime,71,154679
Mldsa65,append_realtime,72,125408
Mldsa65,append_realtime,73,83739
Mldsa65,append_realtime,74,105671
Mldsa65,append_realtime,75,114554
Mldsa65,append_realtime,76,99017
Mldsa65,append_realtime,77,93308
Mldsa65,append_realtime,78,233791
Mldsa65,append_realtime,79,116159
Mldsa65,append_realtime,80,298085
Mldsa65,append_realtime,81,108596
Mldsa65,append_realtime,82,137986
Mldsa65,append_realtime,83,211485
Mldsa65,append_realtime,84,140378
Mldsa65,append_realtime,85,93174
Mldsa65,append_realtime,86,82083
Mldsa65,append_realtime,87,91733
Mldsa65,append_realtime,88,82583
Mldsa65,append_realtime,89,94050
Mldsa65,append_realtime,90,117782
Mldsa65,append_realtime,91,208250
Mldsa65,append_realtime,92,102152
Mldsa65,append_realtime,93,213632
Mldsa65,append_realtime,94,118499
Mldsa65,append_realtime,95,116755
Mldsa65,append_realtime,96,143352
Mldsa65,append_realtime,97,106298
Mldsa65,append_realtime,98,137448
Mldsa65,append_realtime,99,81654
Mldsa65,append_realtime,100,94561
Mldsa65,append_sign,0,56806
Mldsa65,append_sign,1,118264
Mldsa65,append_sign,2,181269
Mldsa65,append_sign,3,54193
Mldsa65,append_sign,4,53232
Mldsa65,append_sign,5,174835
Mldsa65,append_sign,6,130261
Mldsa65,append_sign,7,226906
Mldsa65,append_sign,8,53571
Mldsa65,append_sign,9,119583
Mldsa65,append_sign,10,106124
Mldsa65,append_sign,11,127841
Mldsa65,append_sign,12,53154
Mldsa65,append_sign,13,53287
Mldsa65,append_sign,14,164402
Mldsa65,append_sign,15,69993
Mldsa65,append_sign,16,134977
Mldsa65,append_sign,17,86738
Mldsa65,append_sign,18,78169
Mldsa65,append_sign,19,96075
Mldsa65,append_sign,20,63239
Mldsa65,append_sign,21,112852
Mldsa65,append_sign,22,151889
Mldsa65,append_sign,23,101375
Mldsa65,append_sign,24,207761
Mldsa65,append_sign,25,53942
Mldsa65,append_sign,26,53796
Mldsa65,append_sign,27,84430
Mldsa65,append_sign,28,121862
