profile,n,rtt_ms,conc,rps,rps_sd,p50_us,p99_us,completed,failed
mldsa87,20,0,16,1067.4433333333334,18.05396447690458,14139.16,33311.551,48035,0
mldsa87,20,0,32,1125.2,13.829493844678538,13540.577,99018.656,50634,0
mldsa87,20,1,1,236.10999999999999,2.6985736973445884,4185.566,5306.356,10625,0
mldsa87,20,1,2,460.8866666666667,13.894086271983973,4389.455,4922.227,20740,0
mldsa87,20,1,4,842.1333333333333,32.17216550581159,4704.594,5475.54,37896,0
mldsa87,20,1,8,1204.3999999999999,34.827128793513765,6467.937,12759.183,54198,0
mldsa87,20,1,16,1090.6000000000001,31.448543686472966,13880.18,31684.101,49077,0
mldsa87,20,1,32,1155.09,9.815615110628544,26285.432,61342.884,51979,0
mldsa87,20,20,1,40.91,0.03464101615137937,24364.508,26627.466,1841,0
mldsa87,20,20,2,80.93333333333332,0.7444684904905867,24339.369,29253.555,3642,0
mldsa87,20,20,4,160.17666666666665,1.871265169165858,24501.633,29259.798,7208,0
mldsa87,20,20,8,340.1333333333334,0.4692902442341459,23388.261,26469.477,15306,0
mldsa87,20,20,16,665.3566666666667,0.6030201765557552,23650.76,27163.494,29941,0
mldsa87,20,20,32,1169.3566666666668,26.78655695182452,26362.713,43304.284,52621,0
slhdsa128f,1,0,1,460.4666666666667,10.381436958982782,2108.96,3306.176,20721,0
slhdsa128f,1,0,2,888.29,3.7875057755730923,2252.812,2494.172,39973,0
slhdsa128f,1,0,4,1607.4666666666665,48.05120428598367,2517.029,2915.965,72336,0
slhdsa128f,1,0,8,1767.6666666666667,50.20820882418875,4206.492,9594.49,79545,0
slhdsa128f,1,0,16,1588.8666666666668,25.59113583515454,9362.687,24496.265,71499,0
slhdsa128f,1,0,32,1683.0866666666668,19.390709974968132,14701.63,54570.173,75739,0
slhdsa128f,1,1,1,306.4433333333333,1.6329523365160776,3235.132,3996.791,13790,0
slhdsa128f,1,1,2,588.71,1.1464292389851771,3384.987,3846.174,26492,0
slhdsa128f,1,1,4,1135.1333333333334,17.955618433608258,3474.028,3961.64,51081,0
slhdsa128f,1,1,8,1734.9099999999999,39.16869030233198,4235.715,8812.012,78071,0
slhdsa128f,1,1,16,1587.78,4.7282449175143135,9692.574,21257.613,71450,0
slhdsa128f,1,1,32,1700.3566666666666,5.6613190453579705,12624.245,51226.407,76516,0
slhdsa128f,1,20,1,42.776666666666664,0.08082903768654794,23282.698,25303.463,1925,0
slhdsa128f,1,20,2,84.53333333333333,0.3552933060632184,23366.362,27709.15,3804,0
slhdsa128f,1,20,4,165.69000000000003,1.2297560733738961,23619.157,29038.991,7456,0
slhdsa128f,1,20,8,352.3966666666667,0.11547005383790218,22509.832,25803.689,15858,0
slhdsa128f,1,20,16,702.4433333333333,1.8015641352262266,22582.208,25868.725,31610,0
slhdsa128f,1,20,32,1417.4233333333332,1.306343497451285,22347.906,25605.95,63784,0
slhdsa128f,20,0,1,66.2,0.3699999999999992,15026.589,16058.762,2979,0
slhdsa128f,20,0,2,124.08999999999999,0.8685044617041389,16100.101,16947.946,5584,0
slhdsa128f,20,0,4,223.73333333333335,5.987339420254495,17585.053,25061.513,10068,0
slhdsa128f,20,0,8,233.4466666666667,6.187700165112505,32275.628,54346.208,10505,0
slhdsa128f,20,0,16,219.11333333333334,2.9535797489374156,71052.96,114900.625,9860,0
slhdsa128f,20,0,32,228.44333333333336,2.0580654346578404,151477.206,315567.713,10280,0
slhdsa128f,20,1,1,61.376666666666665,0.31390019645315914,16255.436,17405.213,2762,0
slhdsa128f,20,1,2,115.62333333333333,1.2343554323343566,17167.371,18186.995,5203,0
slhdsa128f,20,1,4,211.51333333333332,4.457536688949782,18765.773,24124.777,9518,0
slhdsa128f,20,1,8,228.07000000000002,10.223502335305644,33005.87,56164.322,10263,0
slhdsa128f,20,1,16,210.31000000000003,8.80615125920513,72613.844,118025.173,9464,0
slhdsa128f,20,1,32,213.44333333333336,2.6339387489714783,147681.754,267729.437,9605,0
slhdsa128f,20,20,1,27.78,0.10148891565092179,35920.307,37983.269,1250,0
slhdsa128f,20,20,2,53.73333333333333,0.1350308606701911,37118.937,40811.454,2418,0
slhdsa128f,20,20,4,92.06666666666666,6.188071859095798,36928.048,58753.095,4143,0
slhdsa128f,20,20,8,208.5533333333333,3.312647480993602,36838.451,52943.24,9385,0
slhdsa128f,20,20,16,222.17999999999998,6.690164422493677,69971.066,137558.869,9998,0
slhdsa128f,20,20,32,212.77666666666664,1.5400108224727942,148170.356,237344.771,9575,0
